# 30 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,95.433,101.567,95.433,98.40,0.16043
SJF,24.667,30.800,24.667,98.40,0.16043
Priority,63.800,69.933,63.800,98.40,0.16043
RR,55.900,62.033,20.133,98.40,0.16043
SRTF,24.600,30.733,24.467,98.40,0.16043
HRRN,27.100,33.233,27.100,98.40,0.16043
