# 8 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,82.500,106.750,82.500,98.48,0.04061
SJF,64.375,88.625,64.375,98.48,0.04061
Priority,78.625,102.875,78.625,98.48,0.04061
RR,130.625,154.875,5.500,98.48,0.04061
SRTF,64.375,88.625,64.375,98.48,0.04061
HRRN,64.500,88.750,64.500,98.48,0.04061
