# 150 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,170.487,174.113,170.487,99.27,0.27372
SJF,112.440,116.067,112.440,99.27,0.27372
Priority,170.480,174.107,170.480,99.27,0.27372
RR,208.800,212.427,96.433,99.27,0.27372
SRTF,112.327,115.953,112.193,99.27,0.27372
HRRN,127.280,130.907,127.280,99.27,0.27372
