# 30 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,412.600,440.267,412.600,99.88,0.03610
SJF,316.400,344.067,316.400,99.88,0.03610
Priority,383.433,411.100,383.433,99.88,0.03610
RR,635.033,662.700,27.667,99.88,0.03610
SRTF,309.833,337.500,284.233,99.88,0.03610
HRRN,320.400,348.067,320.400,99.88,0.03610
