# 8 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,17.750,25.625,17.750,96.92,0.12308
SJF,5.500,13.375,5.500,96.92,0.12308
Priority,5.500,13.375,5.500,96.92,0.12308
RR,9.750,17.625,2.000,96.92,0.12308
SRTF,5.000,12.875,4.750,96.92,0.12308
HRRN,5.750,13.625,5.750,96.92,0.12308
