# 150 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,697.260,707.293,697.260,100.00,0.09967
SJF,212.880,222.913,212.880,100.00,0.09967
Priority,605.413,615.447,605.413,100.00,0.09967
RR,465.753,475.787,100.100,100.00,0.09967
SRTF,212.720,222.753,212.493,100.00,0.09967
HRRN,222.373,232.407,222.373,100.00,0.09967
