# 150 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,2002.513,2030.173,2002.513,99.98,0.03614
SJF,1596.853,1624.513,1596.853,99.98,0.03614
Priority,1883.447,1911.107,1883.447,99.98,0.03614
RR,3266.800,3294.460,147.513,99.98,0.03614
SRTF,1596.340,1624.000,1592.400,99.98,0.03614
HRRN,1608.667,1636.327,1608.667,99.98,0.03614
