# 30 processes, RR quantum 2
Algorithm,AvgWaiting,AvgTurnaround,AvgResponse,CPUUtil,Throughput
FCFS,35.700,39.200,35.700,98.13,0.28037
SJF,21.567,25.067,21.567,98.13,0.28037
Priority,33.667,37.167,33.667,98.13,0.28037
RR,44.000,47.500,18.833,98.13,0.28037
SRTF,21.333,24.833,21.200,98.13,0.28037
HRRN,24.800,28.300,24.800,98.13,0.28037
